id,ano,semestre,demandaEstimada,idProfessor,idDisciplina,comment
20280207,2028,2,41,NULL,NULL,"Scene: Conflicts: Demand x Room Capacity"
20280208,2028,2,66,NULL,NULL,"Scene: Conflicts: Demand x Room Capacity"
20280209,2028,2,66,NULL,NULL,"Scene: Conflicts: Demand x Room Capacity"
20280301,2028,3,NULL,NULL,NULL,"Scene: Conflicts: Room multi alloc"
20280302,2028,3,NULL,NULL,NULL,"Scene: Conflicts: Room multi alloc"
20280303,2028,3,NULL,NULL,NULL,"Scene: Conflicts: Room multi alloc"
20280304,2028,3,NULL,NULL,NULL,"Scene: Conflicts: Room multi alloc"
20280305,2028,3,NULL,NULL,NULL,"Scene: Conflicts: Room multi alloc"
20280306,2028,3,NULL,NULL,NULL,"Scene: Conflicts: Room multi alloc"
20280307,2028,3,NULL,NULL,NULL,"Scene: Conflicts: Room multi alloc"
20280308,2028,3,NULL,NULL,NULL,"Scene: Conflicts: Room multi alloc"
20290102,2029,1,NULL,NULL,2,"Scene: Subjects: odd Semester - No ClassTime"
20290103,2029,1,NULL,NULL,10,"Scene: Subjects: odd Semester - No ClassTime"
20290104,2029,1,NULL,NULL,24,"Scene: Subjects: odd Semester - No ClassTime"
20290105,2029,1,NULL,NULL,28,"Scene: Subjects: odd Semester - No ClassTime"
20290106,2029,1,NULL,NULL,35,"Scene: Subjects: odd Semester - No ClassTime"
20290107,2029,1,NULL,NULL,44,"Scene: Subjects: odd Semester - No ClassTime"
20290108,2029,1,NULL,NULL,47,"Scene: Subjects: odd Semester - No ClassTime"
20290109,2029,1,NULL,NULL,57,"Scene: Subjects: odd Semester - No ClassTime"
20290110,2029,1,NULL,NULL,56,"Scene: Subjects: odd Semester - No ClassTime"
20290111,2029,1,NULL,NULL,59,"Scene: Subjects: odd Semester - No ClassTime"
20290202,2029,2,NULL,NULL,2,"Scene: Subjects: even semester - No ClassTime"
20290203,2029,2,NULL,NULL,10,"Scene: Subjects: even semester - No ClassTime"
20290204,2029,2,NULL,NULL,24,"Scene: Subjects: even semester - No ClassTime"
20290205,2029,2,NULL,NULL,28,"Scene: Subjects: even semester - No ClassTime"
20290206,2029,2,NULL,NULL,35,"Scene: Subjects: even semester - No ClassTime"
20290207,2029,2,NULL,NULL,44,"Scene: Subjects: even semester - No ClassTime"
20290208,2029,2,NULL,NULL,47,"Scene: Subjects: even semester - No ClassTime"
20290209,2029,2,NULL,NULL,57,"Scene: Subjects: even semester - No ClassTime"
20290210,2029,2,NULL,NULL,56,"Scene: Subjects: even semester - No ClassTime"
20290211,2029,2,NULL,NULL,59,"Scene: Subjects: even semester - No ClassTime"
20290302,2029,3,NULL,NULL,2,"Scene: Subjects: summer semester - No ClassTime"
20290303,2029,3,NULL,NULL,10,"Scene: Subjects: summer semester - No ClassTime"
20290304,2029,3,NULL,NULL,24,"Scene: Subjects: summer semester - No ClassTime"
20290305,2029,3,NULL,NULL,28,"Scene: Subjects: summer semester - No ClassTime"
20290306,2029,3,NULL,NULL,35,"Scene: Subjects: summer semester - No ClassTime"
20290307,2029,3,NULL,NULL,44,"Scene: Subjects: summer semester - No ClassTime"
20290308,2029,3,NULL,NULL,47,"Scene: Subjects: summer semester - No ClassTime"
20290309,2029,3,NULL,NULL,57,"Scene: Subjects: summer semester - No ClassTime"
20290310,2029,3,NULL,NULL,56,"Scene: Subjects: summer semester - No ClassTime"
20290311,2029,3,NULL,NULL,59,"Scene: Subjects: summer semester - No ClassTime"
20290510,2029,1,NULL,NULL,91,NULL
20290511,2029,1,NULL,NULL,92,NULL
20290512,2029,1,NULL,NULL,93,NULL
20290513,2029,1,NULL,NULL,94,NULL
20290514,2024,1,NULL,NULL,19,NULL
20290515,2029,1,NULL,NULL,NULL,NULL
20290516,2029,2,NULL,NULL,91,NULL
20290517,2029,2,NULL,NULL,92,NULL
20290518,2029,2,NULL,NULL,93,NULL
20290519,2029,2,NULL,NULL,94,NULL
20290520,2029,2,NULL,NULL,NULL,NULL
20290521,2029,3,NULL,NULL,91,NULL
20290522,2029,3,NULL,NULL,92,NULL
20290523,2029,3,NULL,NULL,93,NULL
20290524,2029,3,NULL,NULL,94,NULL
20290525,2029,3,NULL,NULL,NULL,NULL
